#------------------------------------------------------------------------------
# テクスチャファイル名
#------------------------------------------------------------------------------
TEXTURE_FILENAME = data/TEXTURE/glass.jpg		

#==============================================================================
# フィールドの設置
#==============================================================================
FIELDSET
	POS = 0.00 10.00 0.00
	BLOCK = 80 80
	SIZE = 63.00 63.00
	VTXPOS
	39.82 79.09 125.13 175.10 224.63 266.84 293.86 298.74 286.32 265.44 249.82 241.10 235.44 235.87 240.69 253.31 251.80 242.75 217.82 191.86 165.11 138.60 124.62 128.51 131.41 131.19 123.71 105.46 82.08 62.63 48.90 35.18 26.57 25.36 20.75 14.18 7.41 2.15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.34 10.12 22.12 29.11 34.68 37.12 32.19 37.13 52.84 68.62 75.46 73.03 67.71 75.32 87.09 93.38 86.66 76.88 68.52 66.04 67.84 62.25 63.31 64.17 72.91 71.96 54.40 41.52 32.10 25.22 0.00 
	55.01 99.50 149.81 201.89 251.27 294.32 326.13 344.03 340.81 317.48 305.15 296.67 291.17 287.30 286.23 288.85 282.51 274.42 260.60 240.22 214.33 185.16 168.16 172.81 176.76 178.69 163.54 138.51 117.88 103.22 86.39 69.99 55.50 50.77 42.07 30.37 18.33 8.12 1.58 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.14 10.17 27.28 41.82 49.57 47.90 47.99 43.17 50.40 63.37 81.97 80.72 80.81 81.34 89.38 96.98 99.12 88.50 83.61 86.45 97.43 101.67 91.98 79.10 75.84 82.86 84.05 73.39 59.26 49.58 43.26 0.00 
	67.03 112.97 165.83 219.93 269.18 310.10 341.09 359.18 366.50 359.96 350.23 341.43 333.28 324.30 318.64 315.21 303.71 293.76 292.78 277.36 253.00 228.29 214.90 216.91 218.06 213.49 196.20 175.48 159.97 140.62 121.39 102.36 86.63 77.96 67.00 50.31 32.00 16.30 5.17 0.15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.02 15.04 34.87 51.73 49.92 44.20 43.05 50.65 63.58 69.26 77.77 77.87 79.39 78.04 87.24 84.63 80.41 76.58 78.96 96.13 110.63 112.38 100.25 77.63 67.86 77.61 80.44 78.69 70.61 59.45 45.02 0.00 
	76.14 125.39 178.79 231.81 279.08 314.78 341.58 362.83 375.72 376.43 376.12 373.20 362.16 348.55 338.63 329.68 315.83 301.98 305.30 297.81 277.10 263.19 255.24 256.91 248.30 238.11 221.21 208.21 191.42 171.11 149.91 131.60 116.53 104.51 90.19 69.68 46.22 24.84 9.29 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.17 12.73 29.46 42.72 40.91 29.45 39.73 62.48 81.57 96.97 92.93 83.47 73.27 75.08 78.73 67.85 59.61 59.43 70.60 87.36 102.95 102.44 85.21 62.74 48.96 56.86 67.72 73.91 67.37 64.09 41.25 0.00 
	88.70 133.12 184.74 235.33 274.15 306.36 334.85 358.30 373.89 379.40 380.38 385.96 373.10 359.12 346.40 341.02 329.49 309.91 313.28 307.41 295.49 297.23 293.36 290.14 271.59 250.59 241.17 232.45 218.68 198.45 178.07 160.93 145.69 130.10 109.03 84.03 57.68 31.79 12.48 1.75 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.96 12.81 25.83 31.93 29.42 33.71 57.57 85.35 113.43 121.81 122.33 102.54 78.98 66.88 59.57 48.88 43.93 47.42 57.56 65.87 77.79 70.76 55.48 37.14 34.49 44.08 53.09 65.04 67.35 60.15 39.53 0.00 
	102.75 146.40 189.25 232.59 262.78 292.55 319.25 342.22 358.41 368.79 374.46 382.47 367.42 353.14 346.46 343.59 337.53 318.61 316.96 312.88 314.26 318.78 316.00 305.82 285.18 261.05 257.98 249.26 237.94 218.88 200.28 189.03 172.56 147.99 118.76 90.73 63.06 35.32 13.53 1.70 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.14 9.92 18.57 24.91 22.87 23.96 51.13 85.86 115.48 130.30 144.18 136.14 110.79 73.05 49.50 39.51 26.13 18.19 15.42 18.29 24.90 27.93 20.10 8.62 2.93 1.48 14.46 28.86 54.22 66.57 65.99 44.57 0.00 
	114.32 160.82 202.62 228.82 243.32 262.27 289.87 317.37 334.43 341.75 354.26 367.53 360.60 344.33 333.80 331.71 325.87 316.09 316.79 328.97 328.91 325.77 316.38 303.59 288.99 278.05 268.13 257.68 245.72 225.75 214.00 204.84 180.94 150.62 119.12 88.88 61.68 34.17 11.70 0.72 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.89 10.98 23.00 25.38 20.18 39.30 79.22 122.38 138.84 135.29 127.69 121.73 92.14 49.14 21.08 8.03 -11.43 -21.53 -26.80 -27.93 -28.60 -37.38 -44.32 -50.74 -51.09 -42.62 -28.73 -7.79 31.60 58.84 65.09 49.27 0.00 
